body_temp,ambient_temp,humidity,heart_rate,skin_resistance,resp_rate,movement,avg_sensor_temp,sensor_spread,iaq,lux,sound,source,temp_humidity_index,heat_index,hr_temp_product,skin_resistance_normalized,body_amb_diff,heat_stress_label,dehydration_label
31.670974214112874,27.993428306022462,76.84331032678229,80.0,80.0,18.0,1.0,35.86605517198743,0.24377146831091068,0.0,0.0,0.0,infant,37.24785895964551,31.653057945093625,25.336779371290298,0.16,3.677545908090412,1,1
32.019495978344615,26.72347139765763,84.26052429311483,80.0,80.0,18.0,1.0,35.915843882536315,0.1914208910083275,0.0,0.0,0.0,infant,37.76877939867569,29.54635607503933,25.615596782675695,0.16,5.296024580686986,1,1
30.57200864211975,28.295377076201383,51.68518775276863,80.0,80.0,18.0,1.0,35.96292326841737,0.6185562182391848,0.0,0.0,0.0,infant,33.12759306782067,28.968330241608342,24.4576069136958,0.16,2.2766315659183682,1,1
32.36231878901884,30.04605971281605,83.63756347590896,80.0,80.0,18.0,2.0,36.06395935703755,0.7630267727216591,0.0,0.0,0.0,infant,40.09855387342655,38.91871157645692,25.889855031215074,0.16,2.316259076202794,2,1
30.79570244862258,26.531693250553328,59.4055241406201,80.0,80.0,18.0,2.0,35.984451483963895,0.7573539670624854,0.0,0.0,0.0,infant,33.5920453326395,27.510732633600853,24.636561958898064,0.16,4.264009198069253,1,0
30.577922161167933,26.53172608610164,55.63834578911896,80.0,80.0,18.0,1.0,36.00202853674244,0.2587551819589109,0.0,0.0,0.0,infant,32.94328989378761,27.304731147766898,24.462337728934344,0.16,4.046196075066295,1,1
30.393497655675585,30.158425631014783,42.265728713620895,80.0,80.0,18.0,1.0,36.11550370657271,0.5397964469337424,0.0,0.0,0.0,infant,32.36265052884255,30.15100364101941,24.314798124540467,0.16,0.23507202466080201,1,1
30.26579633977518,28.534869458305817,42.37443660368212,80.0,80.0,18.0,1.0,36.185958932690376,0.6550189436687219,0.0,0.0,0.0,infant,31.71566990236453,28.34810314004577,24.212637071820144,0.16,1.7309268814693617,1,1
31.209927773953847,26.061051228130097,71.14050651759946,80.0,80.0,18.0,2.0,35.91076023773036,0.136390070431176,0.0,0.0,0.0,infant,35.126002130960764,27.477858404632244,24.967942219163078,0.16,5.14887654582375,1,1
31.10293243283568,28.08512008717193,60.60680474953126,80.0,80.0,18.0,0.0,36.055622789122836,0.4144903800815598,0.0,0.0,0.0,infant,34.696703866561,29.667425405612107,24.882345946268543,0.16,3.0178123456637493,1,1
